event_id,output_id,sidx,loss
1,1,-3,982906.00
1,1,-1,46322.33
1,1,1,9313.77
1,2,-3,98290.60
1,2,-1,1150.56
1,2,1,211.20
1,3,-3,49145.30
1,3,-1,684.57
1,3,1,597.06
1,4,-3,19658.12
1,4,-1,699.18
1,4,1,352.18
1,5,-3,982906.00
1,5,-1,42351.39
1,5,1,2379.79
1,6,-3,98290.60
1,6,-1,5418.55
1,6,1,682.07
1,7,-3,49145.30
1,7,-1,1171.80
1,7,1,584.05
1,8,-3,19658.12
1,8,-1,309.47
1,8,1,74.92
2,1,-3,982906.00
2,1,-1,38606.55
2,1,1,63531.65
2,2,-3,98290.60
2,2,-1,5367.47
2,2,1,5765.20
2,3,-3,49145.30
2,3,-1,709.40
2,3,1,749.14
2,4,-3,19658.12
2,4,-1,29.51
2,4,1,233.56
2,5,-3,982906.00
2,5,-1,3751.59
2,5,1,24540.96
2,6,-3,98290.60
2,6,-1,5403.08
2,6,1,2763.86
2,7,-3,49145.30
2,7,-1,1022.08
2,7,1,2323.61
2,8,-3,19658.12
2,8,-1,282.77
2,8,1,550.58
3,1,-3,982906.00
3,1,-1,11836.20
3,1,1,10406.86
3,2,-3,98290.60
3,2,-1,821.41
3,2,1,5274.08
3,3,-3,49145.30
3,3,-1,2645.08
3,3,1,901.35
3,4,-3,19658.12
3,4,-1,374.64
3,4,1,961.28
3,5,-3,982906.00
3,5,-1,67218.09
3,5,1,25703.58
3,6,-3,98290.60
3,6,-1,2463.46
3,6,1,4617.23
3,7,-3,49145.30
3,7,-1,2283.01
3,7,1,2627.68
3,8,-3,19658.12
3,8,-1,1276.95
3,8,1,191.48
4,1,-3,982906.00
4,1,-1,17785.10
4,1,1,16457.29
4,2,-3,98290.60
4,2,-1,24.35
4,2,1,5492.24
4,3,-3,49145.30
4,3,-1,3128.03
4,3,1,2204.35
4,4,-3,19658.12
4,4,-1,911.75
4,4,1,1293.59
4,5,-3,982906.00
4,5,-1,79579.33
4,5,1,36845.35
4,6,-3,98290.60
4,6,-1,314.69
4,6,1,6337.93
4,7,-3,49145.30
4,7,-1,3865.21
4,7,1,3163.30
4,8,-3,19658.12
4,8,-1,1525.50
4,8,1,1231.21
5,1,-3,982906.00
5,1,-1,4939.08
5,1,1,7653.57
5,2,-3,98290.60
5,2,-1,8372.12
5,2,1,508.77
5,3,-3,49145.30
5,3,-1,1565.59
5,3,1,448.82
5,4,-3,19658.12
5,4,-1,1077.28
5,4,1,25.08
5,5,-3,982906.00
5,5,-1,85214.63
5,5,1,313.87
5,6,-3,98290.60
5,6,-1,8190.92
5,6,1,2025.20
