event_id,output_id,sidx,loss
1,1,-3,100000.00
1,1,-1,98107.86
1,1,1,14195.02
1,1,2,50199.50
2,1,-3,100000.00
2,1,-1,55172.46
2,1,1,100000.00
2,1,2,7079.26
3,1,-3,100000.00
3,1,-1,88918.84
3,1,1,50683.53
3,1,2,92435.07
4,1,-3,100000.00
4,1,-1,100000.00
4,1,1,73025.25
4,1,2,100000.00
5,1,-3,100000.00
5,1,-1,100000.00
5,1,1,11271.52
5,1,2,58906.32
6,1,-3,100000.00
6,1,-1,35112.56
6,1,1,56790.41
6,1,2,60594.66
7,1,-3,100000.00
7,1,-1,100000.00
7,1,1,100000.00
7,1,2,92246.96
8,1,-3,100000.00
8,1,-1,100000.00
8,1,1,100000.00
8,1,2,12653.30
9,1,-3,100000.00
9,1,-1,44192.50
9,1,1,55142.73
9,1,2,86547.32
10,1,-3,100000.00
10,1,-1,100000.00
10,1,1,57734.22
10,1,2,100000.00
11,1,-3,100000.00
11,1,-1,70249.60
11,1,1,86195.96
11,1,2,40358.23
12,1,-3,100000.00
12,1,-1,100000.00
12,1,1,100000.00
12,1,2,100000.00
13,1,-3,100000.00
13,1,-1,100000.00
13,1,1,91494.63
13,1,2,53694.07
14,1,-3,100000.00
14,1,-1,88522.80
14,1,1,82900.41
14,1,2,72368.27
15,1,-3,100000.00
15,1,-1,85050.98
15,1,1,77055.43
15,1,2,89600.86
16,1,-3,100000.00
16,1,-1,52398.44
16,1,1,97552.52
16,1,2,65092.59
17,1,-3,100000.00
17,1,-1,100000.00
17,1,1,66558.14
17,1,2,58140.75
18,1,-3,100000.00
18,1,-1,23205.75
18,1,1,25118.11
18,1,2,22679.33
19,1,-3,100000.00
19,1,-1,100000.00
19,1,1,98367.72
19,1,2,100000.00
20,1,-3,100000.00
20,1,-1,100000.00
20,1,1,64474.04
20,1,2,56816.64
21,1,-3,100000.00
21,1,-1,100000.00
21,1,1,100000.00
21,1,2,54430.06
22,1,-3,100000.00
22,1,-1,100000.00
22,1,1,64236.76
22,1,2,100000.00
23,1,-3,100000.00
23,1,-1,91822.67
23,1,1,68599.83
23,1,2,35148.78
24,1,-3,100000.00
24,1,-1,100000.00
24,1,1,30453.00
24,1,2,89670.52
25,1,-3,100000.00
25,1,-1,11188.41
25,1,1,99308.88
25,1,2,61394.46
26,1,-3,100000.00
26,1,-1,39378.25
26,1,1,100000.00
26,1,2,100000.00
27,1,-3,100000.00
27,1,-1,77694.55
27,1,1,73790.98
27,1,2,81882.24
28,1,-3,100000.00
28,1,-1,100000.00
28,1,1,36715.43
28,1,2,20540.56
29,1,-3,100000.00
29,1,-1,100000.00
29,1,1,82228.83
29,1,2,93591.09
30,1,-3,100000.00
30,1,-1,95524.49
30,1,1,100000.00
30,1,2,96380.23
31,1,-3,100000.00
31,1,-1,100000.00
31,1,1,21548.82
31,1,2,10864.54
32,1,-3,100000.00
32,1,-1,100000.00
32,1,1,15396.34
32,1,2,74978.78
33,1,-3,100000.00
33,1,-1,97924.50
33,1,1,100000.00
33,1,2,15312.04
34,1,-3,100000.00
34,1,-1,100000.00
34,1,1,100000.00
34,1,2,95159.29
35,1,-3,100000.00
35,1,-1,100000.00
35,1,1,57310.22
35,1,2,100000.00
36,1,-3,100000.00
36,1,-1,56241.52
36,1,1,95136.48
36,1,2,100000.00
37,1,-3,100000.00
37,1,-1,100000.00
37,1,1,45990.27
37,1,2,93310.50
38,1,-3,100000.00
38,1,-1,94613.74
38,1,1,94652.68
