event_id,summary_id,sidx,loss
1,1,-1,98107.87
1,1,1,14195.02
2,1,-1,55172.46
2,1,1,100458.56
3,1,-1,88918.85
3,1,1,50683.53
4,1,-1,107133.95
4,1,1,73025.26
5,1,-1,114047.24
5,1,1,11271.52
6,1,-1,35112.56
6,1,1,56790.42
7,1,-1,105322.85
7,1,1,127039.31
8,1,-1,146872.42
8,1,1,128686.27
9,1,-1,44192.50
9,1,1,55142.73
10,1,-1,149706.02
10,1,1,57734.22
11,1,-1,70249.60
11,1,1,86195.96
12,1,-1,104695.31
12,1,1,105571.72
13,1,-1,145458.11
13,1,1,91494.63
14,1,-1,88522.81
14,1,1,82900.41
15,1,-1,85050.98
15,1,1,77055.45
16,1,-1,52398.45
16,1,1,97552.50
17,1,-1,157862.16
17,1,1,66558.15
18,1,-1,23205.75
18,1,1,25118.11
19,1,-1,113670.42
19,1,1,98367.70
20,1,-1,148689.09
20,1,1,64474.04
21,1,-1,137740.88
21,1,1,112901.94
22,1,-1,169556.17
22,1,1,64236.77
23,1,-1,91822.66
23,1,1,68599.83
24,1,-1,138065.23
24,1,1,30453.01
25,1,-1,11188.41
25,1,1,99308.88
26,1,-1,39378.25
26,1,1,165292.39
27,1,-1,77694.56
27,1,1,73790.98
28,1,-1,102953.45
28,1,1,36715.44
29,1,-1,130802.27
29,1,1,82228.84
30,1,-1,95524.49
30,1,1,105457.73
31,1,-1,133184.39
31,1,1,21548.82
32,1,-1,150741.08
32,1,1,15396.34
33,1,-1,97924.50
33,1,1,148040.19
34,1,-1,114093.11
34,1,1,130055.23
35,1,-1,100832.13
35,1,1,57310.22
36,1,-1,56241.52
36,1,1,95136.48
37,1,-1,104977.89
37,1,1,45990.27
38,1,-1,94613.75
38,1,1,94652.69
39,1,-1,157205.09
39,1,1,71537.62
40,1,-1,55037.91
40,1,1,99190.70
41,1,-1,145274.48
41,1,1,61219.95
42,1,-1,55138.73
42,1,1,77585.70
43,1,-1,74120.79
43,1,1,45747.06
44,1,-1,62465.79
44,1,1,36530.22
45,1,-1,117055.90
45,1,1,62214.40
46,1,-1,105663.49
46,1,1,62042.61
47,1,-1,98057.96
47,1,1,96289.00
48,1,-1,97239.99
48,1,1,154976.41
49,1,-1,65845.02
49,1,1,19087.54
50,1,-1,58659.86
50,1,1,79489.18
51,1,-1,69228.78
51,1,1,18294.86
52,1,-1,11365.40
52,1,1,79159.54
53,1,-1,38005.93
53,1,1,92485.84
54,1,-1,142821.55
54,1,1,32597.46
55,1,-1,28220.47
55,1,1,91011.95
56,1,-1,18705.88
56,1,1,28640.46
57,1,-1,103550.19
57,1,1,157327.72
58,1,-1,118289.30
58,1,1,153382.31
59,1,-1,143547.31
59,1,1,78766.69
60,1,-1,71573.38
60,1,1,94622.09
61,1,-1,65675.71
61,1,1,109414.95
62,1,-1,65970.89
62,1,1,68350.61
63,1,-1,93195.27
63,1,1,147847.28
64,1,-1,131434.08
64,1,1,101395.98
65,1,-1,36739.09
65,1,1,155553.80
66,1,-1,119522.83
66,1,1,128545.88
67,1,-1,25890.01
67,1,1,15668.68
68,1,-1,117220.98
68,1,1,131731.53
69,1,-1,107902.11
69,1,1,47063.50
70,1,-1,32729.42
70,1,1,16735.23
71,1,-1,86054.15
71,1,1,63636.88
72,1,-1,121738.66
72,1,1,69223.43
73,1,-1,86787.02
73,1,1,88688.22
74,1,-1,124824.27
74,1,1,106726.24
75,1,-1,109551.20
75,1,1,57573.10
