summary_id,type,return_period,loss
1,1,1000.000000,177319.593750
1,1,500.000000,173040.187500
1,1,333.333333,172418.421875
1,1,250.000000,171486.343750
1,1,200.000000,170151.218750
1,1,166.666667,169699.484375
1,1,142.857143,169556.171875
1,1,125.000000,167620.109375
1,1,111.111111,167102.187500
1,1,100.000000,166086.171875
1,1,90.909091,165934.531250
1,1,83.333333,164269.125000
1,1,76.923077,164045.406250
1,1,71.428571,163471.531250
1,1,66.666667,163451.078125
1,1,62.500000,162708.093750
1,1,58.823529,162706.296875
1,1,55.555556,161667.843750
1,1,52.631579,161188.265625
1,1,50.000000,160668.671875
1,1,47.619048,160607.078125
1,1,45.454545,160139.906250
1,1,43.478261,159938.437500
1,1,41.666667,159580.359375
1,1,40.000000,159302.078125
1,1,38.461538,159267.953125
1,1,37.037037,158912.562500
1,1,35.714286,157862.156250
1,1,34.482759,157328.718750
1,1,33.333333,157205.093750
1,1,32.258065,157014.640625
1,1,31.250000,156954.140625
1,1,30.303030,156692.390625
1,1,29.411765,156485.609375
1,1,28.571429,156185.546875
1,1,27.777778,154975.609375
1,1,27.027027,154707.234375
1,1,26.315789,154146.953125
1,1,25.641026,153899.625000
1,1,25.000000,153893.828125
1,1,24.390244,153889.203125
1,1,23.809524,153794.171875
1,1,23.255814,153350.718750
1,1,22.727273,152916.484375
1,1,22.222222,152856.234375
1,1,21.739130,152338.937500
1,1,21.276596,151758.015625
1,1,20.833333,151649.656250
1,1,20.408163,151555.234375
1,1,20.000000,151441.078125
1,1,19.607843,151066.500000
1,1,19.230769,150924.812500
1,1,18.867925,150741.078125
1,1,18.518519,150037.984375
1,1,18.181818,149995.468750
1,1,17.857143,149985.265625
1,1,17.543860,149706.015625
1,1,17.241379,149632.140625
1,1,16.949153,149560.859375
1,1,16.666667,149297.203125
1,1,16.393443,149172.796875
1,1,16.129032,148821.125000
1,1,15.873016,148689.093750
1,1,15.625000,148573.375000
1,1,15.384615,147975.062500
1,1,15.151515,147848.328125
1,1,14.925373,147731.906250
1,1,14.705882,147115.718750
1,1,14.492754,146872.421875
1,1,14.285714,146695.859375
1,1,14.084507,146522.546875
1,1,13.888889,146509.718750
1,1,13.698630,146021.406250
1,1,13.513514,145593.562500
1,1,13.333333,145554.625000
1,1,13.157895,144762.953125
1,1,12.987013,144592.531250
1,1,12.820513,144373.671875
1,1,12.658228,144297.093750
1,1,12.500000,144220.453125
1,1,12.345679,143987.562500
1,1,12.195122,143807.609375
1,1,12.048193,143764.281250
1,1,11.904762,143598.796875
1,1,11.764706,143547.312500
1,1,11.627907,143459.843750
1,1,11.494253,143052.765625
1,1,11.363636,142821.546875
1,1,11.235955,142405.015625
1,1,11.111111,142262.812500
1,1,10.989011,142152.937500
1,1,10.869565,142005.171875
1,1,10.752688,141528.781250
1,1,10.638298,140842.015625
1,1,10.526316,140711.843750
1,1,10.416667,140464.437500
1,1,10.309278,140426.812500
1,1,10.204082,140118.484375
1,1,10.101010,140109.968750
1,1,10.000000,139706.062500
1,1,9.900990,139704.000000
1,1,9.803922,139525.828125
1,1,9.708738,139374.125000
1,1,9.615385,139362.406250
1,1,9.523810,139216.515625
1,1,9.433962,139204.812500
1,1,9.345794,139194.515625
1,1,9.259259,138892.375000
1,1,9.174312,138734.296875
1,1,9.090909,138516.312500
1,1,9.009009,138401.531250
1,1,8.928571,138351.890625
1,1,8.849558,138254.546875
1,1,8.771930,138065.234375
1,1,8.695652,137996.765625
1,1,8.620690,137786.062500
1,1,8.547009,137160.781250
1,1,8.474576,136958.328125
1,1,8.403361,136721.093750
1,1,8.333333,136709.671875
1,1,8.264463,136699.281250
1,1,8.196721,136579.062500
1,1,8.130081,136465.375000
1,1,8.064516,136420.125000
1,1,8.000000,136218.187500
1,1,7.936508,135704.531250
1,1,7.874016,135619.265625
1,1,7.812500,135528.906250
1,1,7.751938,134832.296875
1,1,7.692308,134741.218750
1,1,7.633588,134659.578125
1,1,7.575758,134652.390625
1,1,7.518797,134585.546875
1,1,7.462687,134452.750000
1,1,7.407407,134320.125000
1,1,7.352941,133837.421875
1,1,7.299270,132931.250000
1,1,7.246377,132350.593750
1,1,7.194245,132001.281250
1,1,7.142857,131952.890625
1,1,7.092199,131702.406250
1,1,7.042254,131471.078125
1,1,6.993007,131434.078125
1,1,6.944444,131176.734375
1,1,6.896552,131026.960938
1,1,6.849315,130957.281250
1,1,6.802721,130930.187500
1,1,6.756757,130802.273438
1,1,6.711409,130693.234375
1,1,6.666667,129852.851562
1,1,6.622517,129250.117188
1,1,6.578947,129100.531250
1,1,6.535948,129038.226562
1,1,6.493506,128500.203125
1,1,6.451613,128069.984375
1,1,6.410256,127192.820312
1,1,6.369427,127182.304688
1,1,6.329114,127176.625000
1,1,6.289308,127085.382812
1,1,6.250000,127032.257812
1,1,6.211180,127009.640625
1,1,6.172840,126997.476562
1,1,6.134969,126963.304688
1,1,6.097561,126819.726562
1,1,6.060606,126771.296875
1,1,6.024096,126665.843750
1,1,5.988024,126619.132812
1,1,5.952381,126586.273438
1,1,5.917160,126491.703125
1,1,5.882353,126437.687500
1,1,5.847953,126302.101562
1,1,5.813953,126040.125000
1,1,5.780347,126020.789062
1,1,5.747126,125605.781250
1,1,5.714286,125516.351562
1,1,5.681818,125189.601562
1,1,5.649718,125157.687500
1,1,5.617978,125043.523438
1,1,5.586592,124986.507812
1,1,5.555556,124975.625000
1,1,5.524862,124955.445312
1,1,5.494505,124824.273438
1,1,5.464481,124455.804688
1,1,5.434783,124407.164062
1,1,5.405405,124312.960938
1,1,5.376344,124299.140625
1,1,5.347594,124196.890625
1,1,5.319149,124085.273438
1,1,5.291005,124016.445312
1,1,5.263158,123985.585938
1,1,5.235602,123857.039062
1,1,5.208333,123773.882812
1,1,5.181347,123691.742188
1,1,5.154639,123689.898438
1,1,5.128205,123308.265625
1,1,5.102041,123288.281250
1,1,5.076142,123103.484375
1,1,5.050505,123091.351562
1,1,5.025126,123010.734375
1,1,5.000000,122824.210938
1,1,4.975124,122743.968750
1,1,4.950495,122475.101562
1,1,4.926108,122298.875000
1,1,4.901961,122229.398438
1,1,4.878049,122165.742188
1,1,4.854369,122089.945312
1,1,4.830918,121910.140625
1,1,4.807692,121738.664062
1,1,4.784689,121661.765625
1,1,4.761905,121414.890625
1,1,4.739336,121192.828125
1,1,4.716981,121123.828125
1,1,4.694836,121040.937500
1,1,4.672897,121008.085938
1,1,4.651163,120988.335938
1,1,4.629630,120973.296875
1,1,4.608295,120722.820312
1,1,4.587156,120667.156250
1,1,4.566210,120475.117188
1,1,4.545455,120449.460938
1,1,4.524887,120361.460938
1,1,4.504505,120198.507812
1,1,4.484305,119857.078125
1,1,4.464286,119710.218750
1,1,4.444444,119710.023438
1,1,4.424779,119502.015625
1,1,4.405286,119434.187500
1,1,4.385965,119328.000000
1,1,4.366812,119083.093750
1,1,4.347826,119058.039062
1,1,4.329004,118878.929688
1,1,4.310345,118847.671875
1,1,4.291845,118315.992188
1,1,4.273504,118306.835938
1,1,4.255319,118289.304688
1,1,4.237288,118219.648438
1,1,4.219409,118062.398438
1,1,4.201681,118029.390625
1,1,4.184100,117876.343750
1,1,4.166667,117455.382812
1,1,4.149378,117220.976562
1,1,4.132231,117212.867188
1,1,4.115226,117159.609375
1,1,4.098361,117055.898438
1,1,4.081633,117053.484375
1,1,4.065041,116671.382812
1,1,4.048583,116265.265625
1,1,4.032258,116018.296875
1,1,4.016064,115919.445312
1,1,4.000000,115294.617188
1,1,3.984064,115206.734375
1,1,3.968254,115131.679688
1,1,3.952569,115127.953125
1,1,3.937008,115036.601562
1,1,3.921569,114869.140625
1,1,3.906250,114864.257812
1,1,3.891051,114854.734375
1,1,3.875969,114851.179688
1,1,3.861004,114551.078125
1,1,3.846154,114298.570312
1,1,3.831418,114186.687500
1,1,3.816794,114093.109375
1,1,3.802281,114047.242188
1,1,3.787879,114032.265625
1,1,3.773585,114011.203125
1,1,3.759398,113664.632812
1,1,3.745318,113610.593750
1,1,3.731343,113601.210938
1,1,3.717472,113531.101562
1,1,3.703704,113507.460938
1,1,3.690037,113279.710938
1,1,3.676471,113218.218750
1,1,3.663004,113136.320312
1,1,3.649635,112913.265625
1,1,3.636364,112681.562500
1,1,3.623188,112234.195312
1,1,3.610108,112081.968750
1,1,3.597122,111726.515625
1,1,3.584229,111423.554688
1,1,3.571429,111296.015625
1,1,3.558719,111147.007812
1,1,3.546099,110949.953125
1,1,3.533569,110645.554688
1,1,3.521127,110368.062500
1,1,3.508772,110171.812500
1,1,3.496503,110104.109375
1,1,3.484321,110074.570312
1,1,3.472222,110036.492188
1,1,3.460208,109917.960938
1,1,3.448276,109881.148438
1,1,3.436426,109628.789062
1,1,3.424658,109618.343750
1,1,3.412969,109551.195312
1,1,3.401361,109545.273438
1,1,3.389831,109525.507812
1,1,3.378378,109517.445312
1,1,3.367003,109437.421875
1,1,3.355705,109026.632812
1,1,3.344482,108907.289062
1,1,3.333333,108825.437500
1,1,3.322259,108734.476562
1,1,3.311258,108732.343750
1,1,3.300330,108678.648438
1,1,3.289474,108592.796875
1,1,3.278689,108476.070312
1,1,3.267974,108450.523438
1,1,3.257329,108356.976562
1,1,3.246753,108101.531250
1,1,3.236246,108098.468750
1,1,3.225806,107793.046875
1,1,3.215434,107740.820312
1,1,3.205128,107708.875000
1,1,3.194888,107261.570312
1,1,3.184713,107222.375000
1,1,3.174603,107199.554688
1,1,3.164557,107198.515625
1,1,3.154574,107133.945312
1,1,3.144654,107090.640625
1,1,3.134796,106780.906250
1,1,3.125000,106708.914062
1,1,3.115265,106473.460938
1,1,3.105590,106356.242188
1,1,3.095975,106328.070312
1,1,3.086420,106092.093750
1,1,3.076923,105967.976562
1,1,3.067485,105828.906250
1,1,3.058104,105696.289062
1,1,3.048780,105690.695312
1,1,3.039514,105688.476562
1,1,3.030303,105573.539062
1,1,3.021148,105422.195312
1,1,3.012048,105392.171875
1,1,3.003003,105088.554688
1,1,2.994012,104977.890625
1,1,2.985075,104965.718750
1,1,2.976190,104695.312500
1,1,2.967359,104653.562500
1,1,2.958580,104494.789062
1,1,2.949853,104142.882812
1,1,2.941176,103932.101562
1,1,2.932551,103550.187500
1,1,2.923977,103537.281250
1,1,2.915452,103318.953125
1,1,2.906977,103085.929688
1,1,2.898551,103041.242188
1,1,2.890173,103033.796875
1,1,2.881844,102953.445312
1,1,2.873563,102812.945312
1,1,2.865330,102766.421875
1,1,2.857143,102684.539062
1,1,2.849003,102629.468750
1,1,2.840909,102577.070312
1,1,2.832861,102498.562500
1,1,2.824859,102261.539062
1,1,2.816901,101980.421875
1,1,2.808989,101918.296875
1,1,2.801120,101846.125000
1,1,2.793296,101797.609375
1,1,2.785515,101762.273438
1,1,2.777778,101510.539062
1,1,2.770083,101483.429688
1,1,2.762431,101382.015625
1,1,2.754821,101325.031250
1,1,2.747253,101199.898438
1,1,2.739726,100952.460938
1,1,2.732240,100832.132812
1,1,2.724796,100802.351562
1,1,2.717391,100800.632812
1,1,2.710027,100461.359375
1,1,2.702703,100269.750000
1,1,2.695418,100268.742188
1,1,2.688172,100227.726562
1,1,2.680965,99770.562500
1,1,2.673797,99692.937500
1,1,2.666667,99601.093750
1,1,2.659574,99564.679688
1,1,2.652520,99156.617188
1,1,2.645503,98992.546875
1,1,2.638522,98966.390625
1,1,2.631579,98702.562500
1,1,2.624672,98682.828125
1,1,2.617801,98502.289062
1,1,2.610966,98224.382812
1,1,2.604167,98195.203125
1,1,2.597403,98107.867188
1,1,2.590674,98057.960938
1,1,2.583979,98056.507812
1,1,2.577320,98054.414062
1,1,2.570694,97816.585938
1,1,2.564103,97815.429688
1,1,2.557545,97533.101562
1,1,2.551020,97446.226562
1,1,2.544529,97430.992188
1,1,2.538071,97418.148438
1,1,2.531646,97412.765625
1,1,2.525253,97340.882812
1,1,2.518892,97312.078125
1,1,2.512563,97290.218750
1,1,2.506266,97239.992188
1,1,2.500000,97172.750000
1,1,2.493766,96875.375000
1,1,2.487562,96794.476562
1,1,2.481390,96584.125000
1,1,2.475248,96559.109375
1,1,2.469136,96221.468750
1,1,2.463054,96116.562500
1,1,2.457002,96051.375000
1,1,2.450980,95952.953125
1,1,2.444988,95892.382812
1,1,2.439024,95838.414062
1,1,2.433090,95712.273438
1,1,2.427184,95614.218750
1,1,2.421308,95575.820312
1,1,2.415459,95428.640625
1,1,2.409639,95390.453125
1,1,2.403846,95304.648438
1,1,2.398082,95236.148438
1,1,2.392344,95047.281250
1,1,2.386635,94866.937500
1,1,2.380952,94834.218750
1,1,2.375297,94778.210938
1,1,2.369668,94613.750000
1,1,2.364066,94544.085938
1,1,2.358491,94537.632812
1,1,2.352941,94489.031250
1,1,2.347418,94261.382812
1,1,2.341920,94243.640625
1,1,2.336449,94113.882812
1,1,2.331002,93757.390625
1,1,2.325581,93728.296875
1,1,2.320186,93716.851562
1,1,2.314815,93633.710938
1,1,2.309469,93296.890625
1,1,2.304147,93243.085938
1,1,2.298851,93196.671875
1,1,2.293578,93195.265625
1,1,2.288330,93109.382812
1,1,2.283105,92984.710938
1,1,2.277904,92907.765625
1,1,2.272727,91958.390625
1,1,2.267574,91519.234375
1,1,2.262443,91425.820312
1,1,2.257336,91394.484375
1,1,2.252252,91186.054688
1,1,2.247191,91106.242188
1,1,2.242152,90960.945312
1,1,2.237136,90804.132812
1,1,2.232143,90734.492188
1,1,2.227171,90708.242188
1,1,2.222222,90514.726562
1,1,2.217295,90247.843750
1,1,2.212389,90181.421875
1,1,2.207506,90137.570312
1,1,2.202643,90097.476562
1,1,2.197802,90031.750000
1,1,2.192982,89923.445312
1,1,2.188184,89870.898438
1,1,2.183406,89614.992188
1,1,2.178649,89564.125000
1,1,2.173913,89549.109375
1,1,2.169197,89497.500000
1,1,2.164502,89384.328125
1,1,2.159827,89345.078125
1,1,2.155172,89321.679688
1,1,2.150538,89045.750000
1,1,2.145923,89043.460938
1,1,2.141328,88973.312500
1,1,2.136752,88935.625000
1,1,2.132196,88918.851562
1,1,2.127660,88819.632812
1,1,2.123142,88645.093750
1,1,2.118644,88635.476562
1,1,2.114165,88466.578125
1,1,2.109705,88338.578125
1,1,2.105263,88313.593750
1,1,2.100840,88170.320312
1,1,2.096436,87989.445312
1,1,2.092050,87874.898438
1,1,2.087683,87869.843750
1,1,2.083333,87833.054688
1,1,2.079002,87567.875000
1,1,2.074689,87547.460938
1,1,2.070393,87355.515625
1,1,2.066116,87202.031250
1,1,2.061856,87158.671875
1,1,2.057613,87119.687500
1,1,2.053388,86942.164062
1,1,2.049180,86931.500000
1,1,2.044990,86888.656250
1,1,2.040816,86680.445312
1,1,2.036660,86666.070312
1,1,2.032520,86655.781250
1,1,2.028398,86547.304688
1,1,2.024291,86513.117188
1,1,2.020202,86218.007812
1,1,2.016129,86167.062500
1,1,2.012072,86162.843750
1,1,2.008032,86089.343750
1,1,2.004008,86087.320312
1,1,2.000000,86054.148438
1,1,1.996008,86049.234375
1,1,1.992032,85783.656250
1,1,1.988072,85752.757812
1,1,1.984127,85724.343750
1,1,1.980198,85549.125000
1,1,1.976285,85496.281250
1,1,1.972387,85489.335938
1,1,1.968504,85277.687500
1,1,1.964637,85256.328125
1,1,1.960784,85095.187500
1,1,1.956947,84417.945312
1,1,1.953125,84223.171875
1,1,1.949318,84112.539062
1,1,1.945525,84058.140625
1,1,1.941748,83660.367188
1,1,1.937984,83461.664062
1,1,1.934236,83455.437500
1,1,1.930502,83346.382812
1,1,1.926782,83113.539062
1,1,1.923077,82908.429688
1,1,1.919386,82761.796875
1,1,1.915709,82736.812500
1,1,1.912046,82654.835938
1,1,1.908397,82589.539062
1,1,1.904762,82271.492188
1,1,1.901141,82035.031250
1,1,1.897533,81933.531250
1,1,1.893939,81897.617188
1,1,1.890359,81864.031250
1,1,1.886792,81825.101562
1,1,1.883239,81667.210938
1,1,1.879699,81638.656250
1,1,1.876173,81512.648438
1,1,1.872659,81120.375000
1,1,1.869159,81094.851562
1,1,1.865672,80999.742188
1,1,1.862197,80991.343750
1,1,1.858736,80935.437500
1,1,1.855288,80906.257812
1,1,1.851852,80861.765625
1,1,1.848429,80679.867188
1,1,1.845018,80228.703125
1,1,1.841621,80181.085938
1,1,1.838235,80177.804688
1,1,1.834862,79816.000000
1,1,1.831502,79739.242188
1,1,1.828154,79540.617188
